Variable,R² Linear,R² Polynomial (Deg 2),Improvement
alcohol,0.23561797203963386,0.2315566318953165,-0.00406134014431736
acidez_volatil,0.18477041257419602,0.18568957076535897,0.0009191581911629498
sulfatos,0.07347976746285034,0.12640594547983397,0.05292617801698363
acido_citrico,0.06306164720025276,0.05697481948514982,-0.006086827715102938
densidad,0.03600019857049974,0.08093910966991069,0.04493891109941095
cloruros,0.013506883983806284,0.028239479351835572,0.014732595368029289
acidez_fija,0.011355177413203577,0.010033681479714174,-0.0013214959334894028
dioxido_azufre_total,0.005000587204919471,0.019463367223271466,0.014462780018351995
pH,0.002141915467885891,0.0020990857860802015,-4.282968180568947e-05
azucar_residual,-0.0051309093307236875,-0.005721662599385446,-0.0005907532686617589
dioxido_azufre_libre,-0.0053955519702726384,-0.00495918178839494,0.0004363701818776988
